City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Seguela,CI,7.9611,-6.6731,72.0,84,100,3.06,overcast clouds
186,Half Moon Bay,US,37.4636,-122.4286,67.39,89,75,0.0,broken clouds
187,Husavik,IS,66.0449,-17.3389,48.11,96,100,3.53,overcast clouds
188,Bordighera,IT,43.7806,7.6645,88.29,78,3,5.01,clear sky
189,Brazzaville,CG,-4.2658,15.2832,82.76,57,5,6.91,clear sky
190,Lhokseumawe,ID,5.1801,97.1507,82.44,80,100,5.88,overcast clouds
191,Puerto Del Rosario,ES,28.5004,-13.8627,76.68,73,40,16.11,scattered clouds
192,Milkovo,RU,54.7167,158.6167,62.35,88,40,4.59,scattered clouds
193,Kidal,ML,18.4411,1.4078,94.39,38,1,12.12,clear sky
194,Sola,VU,-13.8833,167.55,79.61,79,59,12.93,broken clouds
195,Sechura,PE,-5.5569,-80.8222,67.33,77,100,8.7,overcast clouds
196,Narsaq,GL,60.9167,-46.05,47.3,75,73,1.45,broken clouds
197,Fairbanks,US,64.8378,-147.7164,57.31,93,90,0.0,overcast clouds
198,Asau,RO,46.4333,26.4,94.75,37,8,9.69,clear sky
199,Ixtapa,MX,20.7,-105.2,75.22,94,66,1.01,broken clouds
200,Mandalgovi,MN,45.7625,106.2708,80.53,28,21,2.84,few clouds
201,Salinas,US,36.6777,-121.6555,62.87,86,90,0.0,overcast clouds
202,Lasa,IT,46.6166,10.7002,78.03,51,9,3.4,clear sky
203,Bayevo,RU,53.2833,80.7667,76.84,34,81,13.85,broken clouds
204,Rondonopolis,BR,-16.4708,-54.6356,57.45,25,54,8.08,broken clouds
205,Ucluelet,CA,48.9329,-125.5528,63.09,91,0,6.33,clear sky
206,Takoradi,GH,4.8845,-1.7554,81.97,64,99,7.36,overcast clouds
207,Auki,SB,-8.7676,160.7034,76.71,87,20,3.11,few clouds
208,Goderich,CA,43.7501,-81.7165,66.9,88,100,8.05,light rain
209,Khatanga,RU,71.9667,102.5,76.28,47,2,5.46,clear sky
