City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
287,Sabang,ID,83.98,overcast clouds,5.8933,95.3214,Hotel Citra
288,Plyussa,RU,80.42,overcast clouds,58.4308,29.3654,Service hotel
294,Nabire,ID,78.01,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
295,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
296,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
300,Mahibadhoo,MV,83.1,overcast clouds,3.7833,72.9667,Omadhoo Inn
305,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
308,Basco,PH,83.59,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
309,Narbonne,FR,83.32,clear sky,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
311,Asahikawa,JP,79.81,broken clouds,43.7678,142.3703,Hoshino Resorts OMO7 Asahikawa
317,Kloulklubed,PW,85.05,broken clouds,7.0419,134.2556,Storyboard Beach Resort
319,Podolinec,SK,75.92,broken clouds,49.2587,20.536,Vaša lekáreň Holumnica
320,Dawei,MM,78.8,overcast clouds,14.0833,98.2,Hotel Dawei
328,French Harbor,HN,80.01,overcast clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
329,Nara,JP,86.97,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
330,Hovd,MN,75.0,scattered clouds,48.0056,91.6419,Hotel Khovd
333,Dingle,PH,80.29,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
337,Pandan,PH,83.28,overcast clouds,14.0453,124.1694,Bonifacio Lodge
339,Zarand,IR,89.06,overcast clouds,30.8127,56.564,خونه بابا حمید
340,Haradok,BY,82.51,light rain,55.4624,29.9816,"Gostinitsa ""Sportivnyy Gorodok"""
